District,State,Prant
Bundi , Rajasthan , RJ-Chittor Prant
Burhanpur , Madhya Pradesh , MP-Malwa Prant
Buxar , Bihar , BR-Dakshin Prant
Cachar , Assam , Assam Prant
Central Delhi (UT) , Delhi (UT) , Delhi Prant
Central Siang , Arunachal Pradesh , Arunachal Pradesh Prant
Chachaura , Madhya Pradesh , MP-Madhya Bharat Prant
Chamarajanagar , Karnataka  , Karnataka Prant
Chamba , Himachal Pradesh , Himachal Prant
Chamoli , Uttarakhand , Uttarakhand Prant
Champawat , Uttarakhand , Uttarakhand Prant
Champhai , Mizoram , Mizoram Prant
Chandauli , Uttar Pradesh , UP-Kashi Prant
Chandel , Manipur , Manipur Prant
Chandigarh , Chandigarh (UT) , Panjab Prant
Chandrapur , Maharashtra , MH-Vidharbh Prant
Changlang , Arunachal Pradesh , Arunachal Pradesh Prant
Charaideo , Assam , Assam Prant
Charkhi Dadri , Haryana , Haryana Prant
Chatra , Jharkhand , Jharkhand Prant
Chengalpattu , Tamil Nadu , TN-Uttar Prant
Chennai , Tamil Nadu , TN-Uttar Prant
Chhatarpur , Madhya Pradesh , MP-Mahakaushal Prant
Chhota Udaipur , Gujarat , Gujarat Prant
Chikkaballapur , Karnataka , Karnataka Prant
Chikkamagaluru , Karnataka , Karnataka Prant
Chirang , Assam , Assam Prant
Chitradurga , Karnataka , Karnataka Prant
Chitrakoot , Uttar Pradesh , UP-Kanpur Prant
Chittoor , Andhra Pradesh , Andhra Pradesh Prant
Chittorgarh , Rajasthan , RJ-Chittor Prant
Chumukedima , Nagaland , Nagaland Prant
Churachandpur , Manipur , Manipur Prant
Churu , Rajasthan , RJ-Jaipur Prant
Coimbatore , Tamil Nadu , TN-Dakshin Prant
Cooch Behar , West Bengal , West Bengal Prant
Cuddalore , Tamil Nadu , TN-Uttar Prant
Cuttack , Odisha , OD-Purba Prant
Dadra and Nagar Haveli , Dadra and Nagar Haveli and Daman and Diu (UT) , Dadra Nagar Haveli Prant
Dahod , Gujarat , Gujarat Prant
Dakshin Dinajpur , West Bengal , West Bengal Prant
Dakshina Kannada , Karnataka , Karnataka Prant
Daman , Dadra and Nagar Haveli and Daman and Diu (UT) , Dadra Nagar Haveli Prant
Damoh , Madhya Pradesh , MP-Mahakaushal Prant
Dang , Gujarat , Gujarat Prant
Dantewada , Chhattisgarh , Chhattisgarh Prant
Darbhanga , Bihar , BR-Uttar Prant
Darjeeling , West Bengal , West Bengal Prant
Darrang , Assam , Assam Prant
Datia , Madhya Pradesh , MP-Madhya Bharat Prant
Dausa , Rajasthan , RJ-Jaipur Prant
Davanagere , Karnataka , Karnataka Prant
Debagarh , Odisha , OD-Pashchim Prant
Deeg , Rajasthan , RJ-Jaipur Prant
Dehradun , Uttarakhand , Uttarakhand Prant
Deoghar , Jharkhand , Jharkhand Prant
Deoria , Uttar Pradesh , UP-Goraksha Prant
Devbhoomi Dwarka , Gujarat , Gujarat Prant
Dewas , Madhya Pradesh , MP-Malwa Prant
Dhalai , Tripura , Tripura Prant
Dhamtari , Chhattisgarh , Chhattisgarh Prant
Dhanbad , Jharkhand , Jharkhand Prant
Dhar , Madhya Pradesh , MP-Malwa Prant
Dharmapuri , Tamil Nadu , TN-Uttar Prant
Dharwad , Karnataka , Karnataka Prant
Dhemaji , Assam , Assam Prant
Dhenkanal , Odisha , OD-Purba Prant
Dholpur , Rajasthan , RJ-Jaipur Prant
Dhubri , Assam , Assam Prant
Dhule , Maharashtra , MH-Madhya Maharashtra Prant
Dibang Valley , Arunachal Pradesh , Arunachal Pradesh Prant
Dibrugarh , Assam , Assam Prant
Didwana , Rajasthan , RJ-Jodhpur Prant
Dima Hasao , Assam , Assam Prant
Dimapur , Nagaland , Nagaland Prant
Dindigul , Tamil Nadu , TN-Dakshin Prant
Dindori , Madhya Pradesh , MP-Mahakaushal Prant
Diu , Dadra and Nagar Haveli and Daman and Diu (UT) , Dadra Nagar Haveli Prant
Doda , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Dudu , Rajasthan , RJ-Jaipur Prant
Dumka , Jharkhand , Jharkhand Prant
Dungarpur , Rajasthan , RJ-Chittor Prant
Durg , Chhattisgarh , Chhattisgarh Prant
East Champaran , Bihar , BR-Uttar Prant
East Delhi , Delhi (UT) , Delhi Prant
East Garo Hills , Meghalaya , Meghalaya Prant
East Godavari , Andhra Pradesh , Andhra Pradesh Prant
East Jaintia Hills , Meghalaya , Meghalaya Prant
East Kameng , Arunachal Pradesh , Arunachal Pradesh Prant
East Khasi Hills , Meghalaya , Meghalaya Prant
East Siang , Arunachal Pradesh , Arunachal Pradesh Prant
East Sikkim , Sikkim , Sikkim Prant
East Singhbhum , Jharkhand , Jharkhand Prant
Eluru , Andhra Pradesh , Andhra Pradesh Prant
Ernakulam , Kerala , Kerala Prant
Erode , Tamil Nadu , TN-Uttar Prant
Etah , Uttar Pradesh , UP-Bruj Prant
Etawah , Uttar Pradesh , UP-Kanpur Prant
Faridabad , Haryana , Haryana Prant
Faridkot , Punjab , Punjab Prant
Farrukhabad , Uttar Pradesh , UP-Kanpur Prant
Fatehabad , Haryana , Haryana Prant
Fatehgarh Sahib , Punjab , Punjab Prant
Fatehpur , Uttar Pradesh , UP-Kanpur Prant
Fazilka , Punjab , Punjab Prant
Firozabad , Uttar Pradesh , UP-Bruj Prant
Firozpur , Punjab , Punjab Prant
Gadag , Karnataka , Karnataka Prant
Gadchiroli , Maharashtra , MH-Vidharbh Prant
Gajapati , Odisha , OD-Purba Prant
Ganderbal , Jammu Kashmiri (UT)  , Jammu Kashmir Prant
Gandhinagar , Gujarat , Gujarat Prant
Gangapur City , Rajasthan , RJ-Jaipur prant
Ganjam , Odisha , OD-Purba Prant
Garhwa , Jharkhand , Jharkhand Prant
Gariaband , Chhattisgarh , Chhattisgarh Prant
Gaurela Pendra Marwahi , Chhattisgarh , Chhattisgarh Prant
Gautam Buddha Nagar , Uttar Pradesh , UP-Meerut Prant
Gaya , Bihar , BR-Dakshin Prant
Ghaziabad , Uttar Pradesh , UP-Meerut Prant
Ghazipur , Uttar Pradesh , UP-Kashi Prant
Gir Somnath , Gujarat , Gujarat Prant
Giridih , Jharkhand , Jharkhand Prant
Goalpara , Assam , Assam Prant
Godda , Jharkhand , Jharkhand Prant
Golaghat , Assam , Assam Prant
Gomati , Tripura , Tripura Prant
Gonda , Uttar Pradesh , UP-Awadh Prant
Gondia , Maharashtra , MH-Vidharbh Prant
Gopalganj , Bihar , BR-Uttar Prant
Gorakhpur , Uttar Pradesh , UP-Goraksha Prant
Gulbarga , Karnataka , Karnataka Prant
Gumla , Jharkhand , Jharkhand Prant
Guna , Madhya Pradesh , MP-Madhya Bharat Prant
Guntur , Andhra Pradesh , Andhra Pradesh Prant
Gurdaspur , Punjab , Punjab Prant
Gurugram , Haryana , Haryana Prant
Gwalior , Madhya Pradesh , MP-Madhya Bharat Prant
Hailakandi , Assam , Assam Prant
Hamirpur , Himachal Pradesh , Himachal Prant
Hamirpur , Uttar Pradesh , UP-Kanpur Prant
Hanamkonda , Telangana , Telangana Prant
Hanumangarh , Rajasthan , RJ-Jodhpur Prant
Hapur , Uttar Pradesh , UP-Meerut Prant
Harda , Madhya Pradesh , MP-Madhya Bharat Prant
Hardoi , Uttar Pradesh , UP-Awadh Prant
Haridwar , Uttarakhand , Uttarakhand Prant
Hassan , Karnataka , Karnataka Prant
Hathras , Uttar Pradesh , UP-Bruj Prant
Haveri , Karnataka , Karnataka Prant
Hazaribagh , Jharkhand , Jharkhand Prant
Hingoli , Maharashtra , MH-Devgiri Prant
Hisar , Haryana , Haryana Prant
Hnahthial , Mizoram , Mizoram Prant
Hojai , Assam , Assam Prant
Hooghly , West Bengal , West Bengal Prant
Hoshangabad , Madhya Pradesh , MP-Madhya Bharat Prant
Hoshiarpur , Punjab , Punjab Prant
Howrah , West Bengal , West Bengal Prant
Hyderabad , Telangana , Telangana Prant
Idukki , Kerala , Kerala Prant
Imphal East , Manipur , Manipur Prant
Imphal West , Manipur , Manipur Prant
Indore , Madhya Pradesh , MP-Malwa Prant
Jabalpur , Madhya Pradesh , MP-Mahakaushal Prant
Jagatsinghpur , Odisha , OD-Purba Prant
Jagtial , Telangana , Telangana Prant
Jaipur , Rajasthan , RJ-Jaipur Prant
Jaipur Rural , Rajasthan , RJ-Jaipur Prant
Jaisalmer , Rajasthan , RJ-Jodhpur Prant
Jajpur , Odisha , OD-Purba Prant
Jalandhar , Punjab , Punjab Prant
Jalaun , Uttar Pradesh , UP-Kanpur Prant
Jalgaon , Maharashtra , MH-Madhya Maharashtra Prant
Jalna , Maharashtra , MH-Devgiri Prant
Jalore , Rajasthan , RJ-Jodhpur Prant
Jalpaiguri , West Bengal , West Bengal Prant
Jammu , Jammu Kashmiri (UT) , Jammu Kashmir Prant
Jamnagar , Gujarat , Gujarat Prant
Jamtara , Jharkhand , Jharkhand Prant
Jamui , Bihar , BR-Dakshin Prant
Jangaon , Telangana , Telangana Prant
Janjgir Champa , Chhattisgarh , Chhattisgarh Prant
Jashpur , Chhattisgarh , Chhattisgarh Prant
Jaunpur , Uttar Pradesh , UP-Kashi Prant
Jayashankar , Telangana , Telangana Prant
Jehanabad , Bihar , BR-Dakshin Prant
Jhabua , Madhya Pradesh , MP-Malwa Prant
Jhajjar , Haryana , Haryana Prant
Jhalawar , Rajasthan , RJ-Chittor Prant
Jhansi , Uttar Pradesh , UP-Kanpur Prant
Jhargram , West Bengal , West Bengal Prant
Jharsuguda , Odisha , OD-Pashchim Prant
Jhunjhunu , Rajasthan , RJ-Jaipur Prant
Jind , Haryana , Haryana Prant
Jiribam , Manipur , Manipur Prant
Jodhpur , Rajasthan , RJ-Jodhpur Prant
